219 categories and their parents:
  Plumbing Fixture Tags (-2005010), parent <none>
  Switch System (-2008101), parent <none>
  Structural Framing Tags (-2005015), parent <none>
  Room Tags (-2000480), parent <none>
  Raster Images (-2000560), parent <none>
  Security Devices (-2008079), parent <none>
  Structural Beam System Tags (-2005130), parent <none>
  Specialty Equipment Tags (-2005014), parent <none>
  Structural Path Reinforcement (-2009009), parent <none>
  Guide Grid (-2000107), parent <none>
  Data Devices (-2008083), parent <none>
  Property Tags (-2001267), parent <none>
  Pipe Tags (-2008047), parent <none>
  Area Tags (-2005020), parent <none>
  Detail Items (-2002000), parent <none>
  Flex Ducts (-2008020), parent <none>
  Pipe Accessories (-2008055), parent <none>
  Zone Tags (-2008115), parent <none>
  Floor Tags (-2005026), parent <none>
  Adaptive Points (-2000900), parent <none>
  Keynote Tags (-2005029), parent <none>
  gbXML Surface (-2008090), parent <none>
  Lighting Fixture Tags (-2005008), parent <none>
  Matchline (-2000193), parent <none>
  Duct Color Fill Legends (-2007004), parent <none>
  Stair Tags (-2005023), parent <none>
  Structural Area Reinforcement Tags (-2009021), parent <none>
  Security Device Tags (-2008080), parent <none>
  Structural Beam Systems (-2001327), parent <none>
  Structural Foundation Tags (-2005019), parent <none>
  Planting Tags (-2005021), parent <none>
  Contour Labels (-2000350), parent <none>
  Analysis Display Style (-2000304), parent <none>
  Spot Slopes (-2000265), parent <none>
  Elevation Marks (-2006045), parent <none>
  Window Tags (-2000450), parent <none>
  Structural Path Reinforcement Symbols (-2009010), parent <none>
  Ceiling Tags (-2005002), parent <none>
  Electrical Fixture Tags (-2005004), parent <none>
  Furniture Systems (-2001100), parent <none>
  Pipe Fitting Tags (-2008060), parent <none>
  Brace in Plan View Symbols (-2006110), parent <none>
  Text Notes (-2000300), parent <none>
  Pipe Color Fill Legends (-2008058), parent <none>
  Dimensions (-2000260), parent <none>
  Grids (-2000220), parent <none>
  Wires (-2008039), parent <none>
  Reference Lines (-2000083), parent <none>
  Door Tags (-2000460), parent <none>
  Structural Stiffeners (-2001354), parent <none>
  Cameras (-2000501), parent <none>
  Internal Line Load Tags (-2005254), parent <none>
  Furniture System Tags (-2005007), parent <none>
  Furniture Tags (-2005006), parent <none>
