CommandId	Path	Id	CanHaveBinding
ID_OBJECTS_WALL	Home-Build-Wall-Wall	32771	True
ID_OBJECTS_STRUCTURAL_WALL	Home-Build-Wall-Structural Wall	34975	True
ID_WALL_PICK_FACES	Home-Build-Wall-Wall by Face	35074	True
ID_OBJECTS_CORNICE	Home-Build-Wall-Wall Sweep	33655	True
ID_OBJECTS_REVEAL	Home-Build-Wall-Reveal	33654	True
ID_OBJECTS_DOOR	Home-Build-Door	32772	True
ID_OBJECTS_WINDOW	Home-Build-Window	32773	True
ID_OBJECTS_FAMSYM	Home-Build-Component-Place a Component	33003	True
ID_INPLACE_COMPONENT	Home-Build-Component-Model In_Place	33544	True
ID_OBJECTS_COLUMN	Home-Build-Column-Architectural Column	32918	True
ID_OBJECTS_STRUCTURAL_COLUMN	Home-Build-Column-Structural Column	34974	True
ID_ROOF_FOOTPRINT	Home-Build-Roof-Roof By Footprint	1142	True
ID_ROOF_EXTRUSION	Home-Build-Roof-Roof By Extrusion	1143	True
ID_ROOF_PICK_FACES	Home-Build-Roof-Roof by Face	20	True
ID_CREATE_SOFFIT_TB	Home-Build-Roof-Roof Soffit	493	True
ID_CREATE_FASCIA_TB	Home-Build-Roof-Fascia	40601	True
ID_CREATE_GUTTER_TB	Home-Build-Roof-Gutter	40602	True
ID_OBJECTS_CEILING	Home-Build-Ceiling	33158	True
ID_OBJECTS_FLOOR	Home-Build-Floor-Floor	32914	True
ID_OBJECTS_SLAB	Home-Build-Floor-Structural Floor	34985	True
ID_FLOOR_PICK_FACES	Home-Build-Floor-Floor by Face	3234	True
ID_CREATE_SLAB_EDGE_TB	Home-Build-Floor-Floor Slab Edge	40603	True
ID_CURTA_SYSTEM_PICK_FACES	Home-Build-Curtain System	35072	True
ID_OBJECTS_CW_GRID	Home-Build-Curtain Grid	33199	True
ID_OBJECTS_MULLION	Home-Build-Mullion	33200	True
ID_OBJECTS_MODELTEXT	Home-Model-Model Text	33660	True
ID_OBJECTS_PROJECT_CURVE	Home-Model-Model Line	33006	True
ID_OBJECTS_PLACE_GROUP	Home-Model-Model Group-Place Model Group	33405	True
ID_EDIT_GROUP	Home-Model-Model Group-Create Group	33305	True
ID_LOAD_INTO_PROJECTS	Home-Model-Model Group-Load as Group into Open Projects	786	True
ID_OBJECTS_RAILING	Home-Circulation-Railing	34969	True
ID_OBJECTS_RAMP	Home-Circulation-Ramp	33316	True
ID_OBJECTS_STAIRS	Home-Circulation-Stairs	32916	True
ID_OBJECTS_LEVEL	Home-Datum-Level	32794	True
ID_OBJECTS_GRID	Home-Datum-Grid	32770	True
ID_OBJECTS_ROOM	Home-Room & Area-Room-Room	33198	True
ID_OBJECTS_AREA_SEPARATION	Home-Room & Area-Room-Room Separation Line	33318	True
ID_VIEW_NEW_AREASCHEME	Home-Room & Area-Area-Area Plan	33638	True
ID_OBJECTS_AREA	Home-Room & Area-Area-Area	33720	True
ID_OBJECTS_AREASCHEME_BOUNDARY	Home-Room & Area-Area-Area Boundary Line	33719	True
ID_OBJECTS_ROOM_FILL	Home-Room & Area-Legend	33252	True
ID_OBJECTS_ROOM_TAG	Home-Room & Area-Tag-Tag Room	33208	True
ID_OBJECTS_AREA_TAG	Home-Room & Area-Tag-Tag Area	33718	True
ID_SETTINGS_COLORFILLSCHEMES	Home-Room & Area-Color Schemes	48739	True
ID_SETTING_AREACALCULATIONS	Home-Room & Area-Area and Volume Computations	40382	True
ID_SKETCH_PLANE_TOOL	Home-Work Plane-Set	33527	True
ID_SKETCH_GRID_VIS	Home-Work Plane-Show	40484	True
ID_OBJECTS_CLINE	Home-Work Plane-Ref Plane-Draw Reference Plane	33026	True
ID_OBJECTS_CLINE_PICK_LINES	Home-Work Plane-Ref Plane-Pick Existing Line/Edge	48999	True
ID_RVTDOC_LINK	Insert-Link-Link Revit	33836	True
ID_FILE_CADFORMAT_LINK	Insert-Link-Link CAD	32961	True
ID_MARKUPS_LOAD	Insert-Link-DWF Markup	3401	True
ID_RM_CREATE_DECAL	Insert-Link-Decal-Place Decal	33789	True
ID_SETTINGS_DECAL_TYPES	Insert-Link-Decal-Decal Types	33188	True
