fixed HintPath in SDKSamples.targets

482 errors
162 warnings

Errors and warnings:

Severity	Code	Description	Project	File	Line	Suppression State
Error	BC40056	Namespace or type specified in the Imports 'Autodesk.Revit.DB' doesn't contain any public member or cannot be found. Make sure the namespace or the type is defined and contains at least one public member. Make sure the imported element name doesn't use any aliases.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	29	Active
Error	BC40056	Namespace or type specified in the Imports 'Autodesk.Revit' doesn't contain any public member or cannot be found. Make sure the namespace or the type is defined and contains at least one public member. Make sure the imported element name doesn't use any aliases.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	28	Active
Error	BC40056	Namespace or type specified in the Imports 'Autodesk.Revit.UI' doesn't contain any public member or cannot be found. Make sure the namespace or the type is defined and contains at least one public member. Make sure the imported element name doesn't use any aliases.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	30	Active
Error	BC30002	Type 'Autodesk.Revit.Attributes.Transaction' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	36	Active
Error	BC30451	'Autodesk' is not declared. It may be inaccessible due to its protection level.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	36	Active
Error	BC30002	Type 'Autodesk.Revit.Attributes.Regeneration' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	37	Active
Error	BC30451	'Autodesk' is not declared. It may be inaccessible due to its protection level.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	37	Active
Error	BC30002	Type 'Autodesk.Revit.Attributes.Journaling' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	38	Active
Error	BC30451	'Autodesk' is not declared. It may be inaccessible due to its protection level.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	38	Active
Error	BC30002	Type 'IExternalCommand' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	40	Active
Error	BC30002	Type 'ExternalCommandData' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	58	Active
Error	BC30002	Type 'Autodesk.Revit.DB.ElementSet' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	58	Active
Error	BC30002	Type 'Autodesk.Revit.UI.Result' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	58	Active
Error	BC30002	Type 'IExternalCommand' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	58	Active
Error	BC2017	could not find library 'Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\bin\RevitViewer.dll'	AnalyticalViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\AnalyticalViewer\VB.NET\vbc	1	Active
Error	BC40056	Namespace or type specified in the Imports 'Autodesk.Revit' doesn't contain any public member or cannot be found. Make sure the namespace or the type is defined and contains at least one public member. Make sure the imported element name doesn't use any aliases.	ArchSample	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ArchSample\VB.NET\Command.vb	23	Active
Error	BC40056	Namespace or type specified in the Imports 'Autodesk.Revit.UI' doesn't contain any public member or cannot be found. Make sure the namespace or the type is defined and contains at least one public member. Make sure the imported element name doesn't use any aliases.	ArchSample	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ArchSample\VB.NET\Command.vb	24	Active
